5	12	13	14.9
16	13	6	12.6
10	15	18	20.6
11	12	1	7.7
17	3	13	13.7
11	3	8	9.0
7	12	20	20.2
11	11	3	8.7
12	10	4	9.2
2	14	4	8.8
10	4	5	7.1
14	8	15	16.5
12	1	2	4.2
1	15	12	14.6
14	18	11	17.7
18	11	17	19.9
14	12	18	20.2
6	12	17	17.9
19	5	12	14.2
16	3	18	17.0
13	11	1	7.7
11	20	8	15.8
15	17	1	10.5
17	18	1	11.3
14	9	10	13.4
1	16	4	9.4
6	2	4	4.8
16	6	11	13.3
17	3	19	17.9
17	15	12	17.8
5	3	15	12.7
19	17	6	14.8
1	19	7	12.7
12	5	19	17.7
17	12	15	18.7
1	18	8	13.0
7	14	3	9.1
4	16	11	14.9
7	8	12	13.0
19	7	9	12.9
10	15	3	10.1
1	1	6	4.8
5	3	3	4.3
4	8	11	11.7
14	9	10	13.4
3	10	1	5.3
2	9	5	7.5
6	11	9	11.9
2	20	2	9.8
11	18	8	15.0
9	2	11	10.3
18	10	5	11.1
15	7	4	8.6
6	15	11	14.9
6	7	17	15.9
15	9	16	17.8
5	17	10	14.8
7	18	19	21.9
13	4	17	16.1
19	8	18	19.6
9	19	20	23.4
6	7	7	8.9
17	20	13	20.5
6	6	5	7.1
11	5	3	6.3
5	5	2	4.4
8	2	6	6.6
1	9	19	17.1
6	5	7	8.1
16	16	17	21.5
19	3	16	16.2
2	8	15	14.1
6	20	17	21.1
16	12	6	12.2
20	14	17	21.5
2	6	4	5.6
5	9	1	5.3
11	20	13	19.3
19	18	5	14.5
7	14	15	17.5
18	15	7	14.5
5	11	7	10.3
13	5	12	13.0
5	6	11	11.1
5	19	10	15.6
8	18	8	14.4
6	4	19	16.1
16	8	14	16.2
11	4	19	17.1
19	16	16	21.4
16	6	2	7.0
11	10	19	19.5
20	18	2	12.6
17	9	10	14.0
8	2	13	11.5
3	20	9	14.9
13	5	2	6.0
10	14	8	13.2
9	8	14	14.8
13	10	18	19.2
6	20	14	19.0
10	7	2	6.2
7	6	14	13.6
6	14	9	13.1
17	11	12	16.2
11	13	11	15.1
11	18	16	20.6
20	7	14	16.6
14	4	8	10.0
7	5	7	8.3
6	14	3	8.9
16	5	14	15.0
14	11	16	18.4
11	20	16	21.4
9	15	8	13.4
7	8	10	11.6
16	11	3	9.7
17	15	11	17.1
8	12	15	16.9
5	13	13	15.3
7	1	9	8.1
18	20	3	13.7
7	10	5	8.9
11	17	15	19.5
1	12	11	12.7
17	12	19	21.5
19	7	7	11.5
15	6	11	13.1
19	12	17	20.5
7	19	12	17.4
4	8	13	13.1
4	12	9	11.9
4	20	7	13.7
20	4	2	7.0
3	1	12	9.4
17	16	11	17.5
17	16	15	20.3
19	16	17	22.1
6	11	11	13.3
5	19	17	20.5
5	18	11	15.9
10	16	7	13.3
12	3	10	10.6
16	7	12	14.4
16	18	17	22.3
20	6	10	13.4
7	6	13	12.9
13	4	13	13.3
19	1	8	9.8
17	8	4	9.4
11	13	14	17.2
18	16	17	21.9
10	16	3	10.5
3	15	16	17.8
15	1	7	8.3
17	14	4	11.8
16	5	8	10.8
14	13	13	17.1
11	6	14	14.4
4	18	19	21.3
9	7	10	11.6
18	9	19	20.5
2	10	10	11.4
19	6	4	9.0
7	14	10	14.0
16	5	8	10.8
18	2	7	9.3
17	7	8	11.8
4	1	15	11.7
5	4	7	7.5
16	12	3	10.1
2	14	11	13.7
7	10	13	14.5
6	11	10	12.6
1	3	6	5.6
13	16	4	11.8
9	18	1	9.7
20	2	8	10.4
1	17	4	9.8
2	12	1	5.9
12	18	3	11.7
15	16	17	21.3
13	8	8	11.4
3	8	16	15.0
9	2	9	8.9
7	10	20	19.4
4	12	3	7.7
16	10	11	14.9
13	11	14	16.8
4	2	10	8.6
17	9	3	9.1
11	8	13	14.5
1	15	5	9.7
7	14	6	11.2
20	2	9	11.1
1	6	10	9.6
13	4	12	12.6
10	17	19	22.1
15	11	17	19.3
7	7	8	9.8
